id,category,text,true_label,bert_pred,bert_confidence,distilbert_pred,distilbert_confidence,text_length_words,has_negation,n_negations,has_contrastive
4996,bert_only_correct,"This movie is exactly the same as Ridley Scott's, ""Someone To Watch Over Me"", which is a classic. It stars Tom Berenger and Mimi Rogers and the bad guy from the Fugitive. It's a quality movie, with good direction and great acting. This movie is the polar opposite. It's the same plot, just minus any good acting and adding TV movie direction. I do have to say I like the interaction between Lowe and the woman. She's hot and their romance is believable on many levels. Unfortunately, that alone cannot save this carbon copy of the classic Ridley Scott film.<br /><br />Usually crappy TV movies have some redeeming quality that makes them watchable at the very least. I think for me, this film's redeeming value is that Rob Lowe and the lead female have chemistry. That and I was able to watch and compare the plot to another quality film.",0,0,0.8256986141204834,1,0.998111367225647,150,1,0,0
7123,bert_only_correct,"This movie has lots of action and little heart. Let's forget for a minute that it gets just about every aspect of the Russian Revolution wrong - after all we only have only under an hour here to tell our story. In fact, the czar abdicated after World War I proved a disaster for the country, and a provisional government tried to rule as a pseudo-democracy until the Leninists took power nine months later, mainly because they promised to immediately withdraw Russia from the war. Now, back to our story.<br /><br />Here we have the revolution being ""rumored"" in Russian newspapers in what appears to still be a functioning country until violence erupts suddenly and upends the life of nobleman Baron Nikita 'Nikki' Krasnoff (Douglas Fairbanks Jr.). He flees his home with his former servant girl Tanyusha (Nancy Carroll) in tow, and they start to make a new life in Constantinople. Before the revolution the Baron made a regular habit out of making a play for the girl, not out of any real passion, but out of boredom as a diversion of sorts. The revolution doesn't change this, and he continues to try to take advantage of what is obviously a very simple girl. It certainly doesn't make the audience like this guy to see him toying with her so. Tanyusha follows the Baron because she literally has no place to go after the revolutionaries take over the Baron's home, and she has known no other life other than waiting on Nikki hand and foot. Once in Constantinople, Nikki quickly wearies of life as a penniless laborer, and that is when he meets up with his former lover, Russian aristocrat Vera Zimina, who has a plan for getting them to Paris where the Tsarists have congregated after the revolution. Unfortunately for Tanyusha, Vera's plan does not include her.<br /><br />This film manages to completely waste the considerable acting talents of early talkie actress Nancy Carroll. She does a good job with what little she is given to do, but that is not much. Lilyan Tashman is the standout here, even though she has only a small role as Russian vamp Vera. Lilyan was so often given supporting roles just as she is here, but her earthy voice and glamorous looks make her the center of attention in every scene in which she appears. Guy Kibbee even shows up in a humorous bit as an American tourist who is curious about the Russian royalty that has been forcefully ejected from their homeland.",0,0,0.9713534116744996,1,0.9981073141098022,421,1,7,1
6224,bert_only_correct,"Pepe le Moko, played by Charles Boyer, is some sort of international criminal mastermind wanted in countries throughout Europe, and to stay free he holes himself up in the Casbah, a mysterious part of Algiers where even the police are reluctant to go, until a senior officer is sent from Paris to capture le Moko once and for all. For le Moko, although the Casbah allows him to remain out of police custody, it also becomes a sort of prison at the same time - a place he can't leave, because the moment he does, he knows he'll be arrested.<br /><br />Boyer's performance was good, and I can understand why he was nominated for an Oscar. He captures the essence of such a character - a perfect combination of very dangerous and yet very classy at the same time. The movie itself, unfortunately, was quite a letdown. A number of parts of the story seemed inconsistent, of which I'll mention two. First was the idea that the police wouldn't enter the Casbah. That was stated pretty clearly at the beginning of the film by the local commander, and yet repeated references in the movie suggest that in fact the police did enter the Casbah fairly regularly. So, neither the suggestion by Commissioner Janvier that the police wouldn't enter, nor the statement by Inspector Slimane (also a decent performance by Joseph Calleia) that they could get into the Casbah but not out seemed to make much sense. I also found it difficult to believe that le Moko - hardened criminal mastermind that he was - could be so quickly swept off his feet by Gaby (Hedy Lamarr) to the point where he entertains the local populace by singing love songs and then leaves the Casbah to find her, essentially giving himself up. I understand the irony of the final few scenes, of course, as Pepe leaves the freedom of his prison (the Casbah) only to find real freedom in his capture (because he's shot and killed by the police.) I just found it impossible to believe that someone like le Moko would fall into such a trap.<br /><br />This is worth watching for Boyer, and to a lesser extent Calleia, but the story is disappointing and inconsistent. 3/10",0,0,0.996894359588623,1,0.9980039000511168,377,1,6,1
3008,bert_only_correct,"This is one of the best looking films of the past few years. The fact that it was done on a virtual shoestring ($1.8 million or so they say on the DVD:they infer that they ended up with even less financing) makes it all the more impressive. Not simply the photography, but the design and particularly the locations (Eastern Montana) which are at once authentically American and otherworldly.<br /><br />Too bad there isn't a coherent movie to go with it. An extremely promising setup of the last 48 hours of clearing out a rural town in 1955 before it will be flooded for a dam is washed away with pretentious mumbo jumbo alluding to angels and a dying child. And what is presented as the ""real world"" is hopelessly arch. Note to the Polish Brothers:the Coen Brothers are funny-you are not.<br /><br />No doubt many cineastes will find ""Northfork""'s abundant symbolism and inscrutability as marks of some sort of profundity, the sort that sophisticated types wrestle the night away with in coffeehouses while the braindead masses watch ""Charlie's Angels"" or something. (Sigh) If you insist....<br /><br />In the meantime, recommended only as a case study for filmmakers for its' impeccable technical credits and photographic beauty.",0,0,0.8106935620307922,1,0.9978781938552856,205,1,2,1
10257,bert_only_correct,"The original Australian Kath & Kim is brilliant. Why do American producers need to remake & ruin yet another classic show? Remember the original version of ""The Office"" with Ricky Gervais, It was an absolute masterpiece, and there was no need to remake it. The producers said that the British humour from ""The Office"" and the Australian humour from ""Kath & Kim"" would not translate to an American audience......... WHAT??? So basically they are saying that Americans are too dumb and stupid to understand the jokes, so they need to remake the shows with over-the-top childish gags, so that the Americans can understand the humour. The original Australian version of Kath & Kim is fantastic and very funny. Avoid the American version like the plague!!",0,0,0.9616492986679076,1,0.9978596568107604,125,1,2,1
23486,bert_only_correct,"Paul Rudnick (Jeffrey, Addams Family Values) wrote this frothy tale of a mild mannered school teacher (Kevin Kline) who is outted on the Academy Awards by a former student-turned-actor (Matt Dillon). The rest of the film deals with the absurdities revolving around this setup -the effect on the town, his fiancee (Joan Cusack), himself- and climaxes with an everybody-loves-everybody finale.<br /><br /> If you're an angry gay rights activist or a naive youth looking for an accurate portrayal of a man's struggle to come out or a 'true' depiction of gay life, then save yourself the trouble and rent something else (maybe Beautiful Thing) or read a book (Giovanni's Room). If you are able to understand that this film was inspired by the piousness of Tom Hanks's speech on the Academy Awards when he won for Philadelphia and pokes fun at Hollywood culture and small town ignorance and you have a fondness for '30's screwball comedy (Bringing Up Baby, Holiday, The Palm Beach Story) then enjoy! Far from being a biting satire, the film tries for the exuberance of a Preston Sturges farce and comes damn close. No, it's not 'deep' or 'powerful' -neither were Romy & Michelle, 9 to 5, or Young Frankenstein- and it doesn't pretend to be; it keeps it's tongue-firmly-in-cheek. It gets too preachy and maudlin for its own good toward the end and sure some of the jokes are a bit stale (there's also a locker room scene that could have been cut) but after sitting through countless comedies that misfire, it's like a breath of fresh air.<br /><br /> Kevin Kline and Tom Selleck are wonderfully game while Debbie Reynolds and Wilford Brimley add fine support. The excellent Joan Cusack's award winning performance is stellar and the great Bob Newhart is, well, Bob Newhart. <br /><br /> The fact that many have been offended by In & Out is as absurd as the mentality of the townsfolk it pokes fun at; personally, I was more offended by Philadelphia. I'll take harmless fluff over sanctimoniousness anytime.",1,1,0.5883009433746338,0,0.9973166584968568,341,1,2,1
5617,bert_only_correct,"Cheaply pieced together of recycled film footage, music and ideas, this film cannot really be called ""well"". But for me, when I watched it as a teenager, it was quite amusing. (I didn't know BATTLE BEYOND THE STARS before.) In retrospect it has got something nostalgic, regarding the SF wave of the early eighties and the special effects of this time. Its trashy old-fashioned look and its naivety provide a certain attraction. To enjoy this movie I recommend to concentrate on the paternal relationship between the characters of Vince Edwards and David Mendenhall. In addition, I liked the idea that a bunch of scoundrels discovers its heroic qualities after been unwillingly confronted with the challenge to take care of a child.",0,0,0.950166642665863,1,0.9972429275512696,121,1,1,1
13111,bert_only_correct,"I was laying in bed, flicking through the channels... and boy do I have channels... 500 of them. With over 70 movie channels, I probably watch a movie on cable, once or twice a month... DVD has spolied me.<br /><br />Anyway, I'm flicking through and I come to this movie and because I see Natilie Portman, I take interest. 110 minutes later I am still interested. How could this be? When I first saw the previews to this movie in the theater I remember making fun of it. I never thought I'd watch it... nevermind like it.<br /><br />The story is based on a book, and you can tell. The movie is very episodic, andit's not like the movie has a great plot, it just sucks you in. May-be its that performances that do it. I'm pretty sure in must have been.<br /><br />This movie was good for no reason...<br /><br />Peter's Movie Rating (out of 10): 7",1,1,0.986622154712677,0,0.997158408164978,158,1,3,1
23841,bert_only_correct,"Before seeing this picture I was quite skeptic, I don't like movies with an agenda nor do I appreciate being scared into thinking like the writer. I was also afraid this would be like the 2-part mini-series ""10.4"" which had a far-fetched concept, little relation to the real world and very poor execution. At the beginning is says: ""This film is fiction, but the events portrayed and the information about UK emergency planning are based on extensive research""; and the general feeling is that you're not being sold on an idea, but that you're being taught a lesson in civil awareness. The message that is being conveyed is obvious from the start: It is coming and we're not prepared. The use of real places and a scenario which not only could happen - There are plans for when it does - all add to the disturbing effect the movie will have, on even the most cynical of viewers. The movie's perspective is that of the society and it stays away from heart-breaking personal moments, which won't convey the message, so none of the Romeo-Juliet drama we're used to.",1,1,0.8513723015785217,0,0.9971103072166444,188,1,6,1
10302,bert_only_correct,"The first season was great - good mix of the job and the brother and friends at home. it was actually a pretty funny show.<br /><br />Now it shows up again and the brother and the two hot chicks are gone -- and the whole thing revolves around the airline company. Even the old man who runs the company has gone downhill - way too over the top, where before it was perfect.<br /><br />That and no more Sarah Mason - one of the best looking girls in Hollywood.<br /><br />This is what happens when you let some execs get their hands on a show. You can almost see the meeting ""the old man is funny, lets focus on him, make him way over the top and make it all about the airline.. it'll be a nutty version of the office!"" Anyhow, no hot chicks, no watch.",0,0,0.7772684693336487,1,0.9970840811729432,147,1,3,0
8319,bert_only_correct,"It's schmaltzy, but then what else did you expect? The heroine is Cinderella's younger sister complete with wicked mother, sister, and brother-in-law; the hero (if you can call him that) is an ineffectual putz; and the rival love interests are full of melodramatic villainy.<br /><br />The cast, settings, and wardrobe were all very attractive, and I thought the actors did a superb job considering how weak the material was. The movie was prettily filmed and boasted a soundtrack that was carefully crafted to cue the viewer about what emotions he should be experiencing throughout. Megon McDonough sang sweetly and provided the film with some of its best moments.<br /><br />If you love Danielle Steel, you will love this film. If you love archetypal romance, you will love this film. I did not. I was able to sit through it, but it was close.",0,0,0.9916741251945496,1,0.9969741106033324,143,1,0,1
7644,bert_only_correct,"I do not generally appreciate light-weight attempts at creating humourous stories, which means that ""Anita no perd el Tren"" cannot score very high for me. The story is good: a middle-aged but still good-looking woman finds a new love. But the attempts at making this film as a romantic comedy only managed at times to be somewhat comical. <br /><br />Rosa María Sardà has ably demonstrated that she can be a serious actress in such productions as ""Amic/Amat"" (qv), ""Todo Sobre mi Madre"" (qv), ""Las Amargas Lágrimas de Petra von Kant"" (qv) and ""El Embrujo de Shanghai"" (qv). However the powers that be have over the years dished her out a lot of trivial stuff, for the cinema and for TV. Something similar could be said of José Coronado: perfectly able to produce serious performances. María Barranco belongs safely in this grouping.<br /><br />Such that, in the end, I was left with the feeling that I would be real pleased to see a new making of this film, in a serious tone, which would allow the actors to really show their performing skills. And the curious thing is that it should be done with exactly the same leading actors. Wasted talent on a rather silly film that could have been very promising indeed.",0,0,0.7301254868507385,1,0.9969133138656616,213,1,2,1
607,bert_only_correct,"The Comic Strip featured actors from 'The Young One's' - a student based sitcom from the 80's. Comic Strip features included parodies of westerns, 'The famous 5', and The Professionals - all a lot funnier than this. Having said that Alexei Sayle puts in a good turn as a traffic cop with ambition and the soundtrack features great music from the era. 5/10",0,0,0.5009152293205261,1,0.996785283088684,63,0,0,0
9743,bert_only_correct,"""Nicodemus"" is almost a copy of ""Red"" in the odd behavior sense, but this episode focuses on other people in Clark Kent's unpredictable life. When a poisonous flower finds it's way into Smallville Jonathan Kent is the first to be effected by it. the flower causes people to reverse their behavior and when it effects Jonathan, he becomes short tempered and violent, however Clark manages to stop him from doing anything rash until his father finally passes out. okay. so far, so good. next up is Lana. the Episode was good up to that point, for the flower causes her to attempt seducing Clark. at the last moment, he refuses her but the damage has already been done. this episode causes the wrong impressions and isn't suitable for people under the age of twenty, due to it's adult content. the first part was good, the last part (focusing on the effect the flower has on Pete) was good, but the middle that was all about Lana's alternate personality, was most defiantly not, and that ruined what could have been a brilliant Episode. I give this Episode two.",0,0,0.9464708566665648,1,0.99676513671875,187,1,1,1
