id,category,sentence1,sentence2,true_label,bert_pred,bert_confidence,distilbert_pred,distilbert_confidence,text_length_words,has_negation,n_negations,has_contrastive
90,bert_only_correct,"However , Lapidus expects foreign brands ' sales to be up 4 percent , driven by strong truck sales at Honda Motor Co .","Lapidus expects Ford to be down 5 percent , Chrysler down 10 percent and foreign brands up 4 percent driven by strong truck sales at Honda .",0,0,0.7636029124259949,1,0.9691877961158752,51,1,0,1
157,bert_only_correct,The blasts killed two people and injured more than 150 others .,The Atlanta Olympic Games attack killed one woman and injured more than 100 other people .,0,0,0.62001633644104,1,0.8155540823936462,28,0,0,0
60,bert_only_correct,"Terri Schiavo , 39 , is expected to die sometime in the next two weeks in the Tampa-area hospice where she has spent the past several years .","Terri Schiavo , 39 , underwent the procedure at the Tampa Bay area hospice where she has been living for several years , said her father , Bob Schindler .",0,0,0.8394932150840759,1,0.8131238222122192,58,0,0,0
338,bert_only_correct,We strongly disagree with Novell 's position and view it as a desperate measure to curry favor with the Linux community .,"McBride characterized Novell 's move as "" a desperate measure to curry favor with the Linux community . """,0,0,0.606552004814148,1,0.8036030530929565,41,1,0,0
387,bert_only_correct,""" It 's a major victory for Maine , and it 's a major victory for other states .",The Maine program could be a model for other states .,0,0,0.7927326560020447,1,0.7977271676063538,30,0,0,0
197,bert_only_correct,"The Lord Chancellor was guardian of the Great Seal , used to stamp all official documents from the sovereign .","Falconer will hold on , for now , to the Lord Chancellor 's Great Seal , used to sign off instructions from the sovereign .",0,0,0.587916374206543,1,0.7875980734825134,45,1,0,0
180,bert_only_correct,"The chain operates more than 3,400 stores , and has annual revenue of about $ 15.8 billion .","The chain , which has been under new management since late 1999 , has more than 3,400 stores and $ 15.8 billion in annual revenue .",0,0,0.6005914211273193,1,0.7713062763214111,44,0,0,0
171,bert_only_correct,At least 27 US troops have been killed in hostile fire since Bush 's statement .,At least 26 American troops have been killed in hostile fire since major combat was officially declared over on May 1 .,1,1,0.5266022682189941,0,0.7572547197341919,38,0,0,0
312,bert_only_correct,The show 's closure affected third-quarter earnings per share by a penny .,The company said this impacted earnings by a penny a share .,1,1,0.6958009600639343,0,0.7114493250846863,25,0,0,0
71,bert_only_correct,"Trans fat makes up only 1 percent to 3 percent of the total fat Americans consume , compared with 14 percent for saturated fat .","Trans fat accounts for 2.5 percent of Americans ' daily calories , compared to 11 percent to 12 percent for saturated fat .",1,1,0.5114936232566833,0,0.6698040962219238,48,0,0,0
360,bert_only_correct,"The study , published Monday in the journal Molecular Brain Research , is likely to also apply to humans , its authors said .","The study , conducted on the brains of developing mice , was being published today in the journal Molecular Brain Research .",0,0,0.7995988130569458,1,0.6620712280273438,46,0,0,0
187,bert_only_correct,Kelly killed himself after being exposed as the source for a BBC report which claimed the government had embellished evidence of Iraq 's banned weapons to justify the war .,He killed himself after being exposed as the source for a BBC report which claimed the government exaggerated the case for war against Iraq .,1,1,0.60023033618927,0,0.6565877199172974,55,0,0,0
212,bert_only_correct,"The broad Standard & Poor 's 500 < .SPX > eased 0.37 of a point , or 0.03 percent , at 1,121 .","The Standard & Poor 's 500 Index < .SPX > slipped 0.26 point , or 0.02 percent , to 1,121.96 .",1,1,0.797091543674469,0,0.6332697868347168,44,0,0,0
239,bert_only_correct,Iran has until the end of the month to satisfy the agency it has no plans for nuclear weapons .,The Iranians have until the end of the month to answer all the agency 's questions about their past nuclear activities .,0,0,0.7099946141242981,1,0.6296961307525635,42,1,1,0
172,bert_only_correct,"A recent poll showed Edwards with a narrow lead in South Carolina , and he plans a rally there later on Tuesday .","A recent poll showed Edwards in a virtual four-way tie at the top in South Carolina , and he plans a rally there later on Tuesday .",1,1,0.7035976648330688,0,0.6233344674110413,50,0,0,0
106,bert_only_correct,"Twenty-eight people were believed to have been spending Christmas Day with the caretaker of the St Sophia 's camp , when the mudslide smashed into two cabins .","Twenty-seven people were believed to have been spending Christmas Day with the caretaker of Saint Sophia Camp , a Greek Orthodox facility , when the mudslide roared through .",1,1,0.696382462978363,0,0.6162859797477722,57,0,0,0
252,bert_only_correct,"Terri Schiavo , 39 , underwent the procedure at the Tampa Bay area hospice where she has been living for several years , said her father , Bob Schindler .","The tube was removed Wednesday from Terri Schiavo , 39 , at the Tampa Bay-area hospice where she has lived for several years .",1,1,0.5411615371704102,0,0.590349018573761,54,0,0,0
391,bert_only_correct,"But software license revenues , a measure financial analysts watch closely , decreased 21 percent to $ 107.6 million .","License sales , a key measure of demand , fell 21 percent to $ 107.6 million .",1,1,0.8249746561050415,0,0.5874062776565552,37,1,0,1
136,bert_only_correct,Vivace was founded in 1999 and has raised over $ 118 million in three rounds of venture financing .,"During difficult times for technology venture capital , Vivace raised over $ 118 million in three rounds of venture financing .",0,0,0.6652114987373352,1,0.584008514881134,40,1,0,0
282,bert_only_correct,""" It was never our intention to sell the product , "" said Health Minister Anne McClellan , a skeptic of medical marijuana use .",""" It was never the intention of us to sell product , "" federal Health Minister Anne McLellan said yesterday in Edmonton .",1,1,0.8700246214866638,0,0.5800941586494446,48,1,2,0
265,bert_only_correct,"Committee approval , expected today , would set the stage for debate on the Senate floor beginning Monday .",That would clear the way for debate in the full Senate beginning on Monday .,1,1,0.8949633836746216,0,0.5332822799682617,34,0,0,0
42,bert_only_correct,""" Jeremy 's a good guy , "" Barber said , adding : "" Jeremy is living the dream life of the New York athlete .","He also said Shockey is "" living the dream life of a New York athlete .",0,0,0.9037440419197084,1,0.5302340984344482,42,0,0,0
406,bert_only_correct,"The S & P / TSX composite rose 87.74 points on the week , while the TSX Venture Exchange composite gained 44.49 points .","On the week , the Dow Jones industrial average rose 11.56 points , while the Nasdaq Stock Market gained 39.42 points .",0,0,0.9256365299224854,1,0.5258197784423828,46,0,0,0
26,bert_only_correct,Cooley said he expects Muhammad will similarly be called as a witness at a pretrial hearing for Malvo .,Lee Boyd Malvo will be called as a witness Wednesday in a pretrial hearing for fellow sniper suspect John Allen Muhammad .,0,0,0.82504802942276,1,0.5113140344619751,41,0,0,0
147,bert_only_correct,He added : ``I 've never heard of more reprehensiblebehaviour by a doctor .,The Harrisons ’ lawyer Paul LiCalsi said : “ I ’ ve never heard of more reprehensible behaviour by a doctor .,1,1,0.719512403011322,0,0.5075575113296509,36,1,2,0
382,distilbert_only_correct,"GE stock closed Friday at $ 30.65 a share , down about 42 cents , on the New York Stock Exchange .",GE 's shares closed at $ 30.65 on Friday on the New York Stock Exchange .,0,1,0.8812729120254517,0,0.792476236820221,38,0,0,0
170,distilbert_only_correct,"GE stock closed at $ 30.65 a share , down about 42 cents , on the New York Stock Exchange .",GE 's shares closed at $ 30.65 on Friday on the New York Stock Exchange .,0,1,0.8743309378623962,0,0.7797487378120422,37,0,0,0
264,distilbert_only_correct,Corixa shares rose 54 cents to $ 7.74 yesterday on the Nasdaq Stock Market .,"Shares of Corixa rose 54 cents , or about 8 percent , to close at $ 7.74 .",0,1,0.8622646331787109,0,0.5059304237365723,33,0,0,0
104,distilbert_only_correct,""" I don 't know if the person I 'm talking to now may end up being someone else at another time that may not follow the rules , "" Parrish said .",""" I don 't know whether the person I 'm talking to now may end up being someone else , "" Parrish said .",0,1,0.8544889688491821,0,0.5041248202323914,57,1,1,0
299,distilbert_only_correct,"But I would rather be talking about high standards than low standards . """,""" I would rather be talking about positive numbers rather than negative .",1,0,0.8427531123161316,1,0.9416974782943726,27,1,0,1
377,distilbert_only_correct,"Garner said the group would probably be expanded to include , for example , a Christian and perhaps another Sunni leader .",The group has already met several times and Gen. Garner said it probably will be expanded to include a Christian and perhaps another Sunni Muslim leader .,0,1,0.8021641373634338,0,0.6442181468009949,49,1,0,0
209,distilbert_only_correct,""" I had one bad stretch of holes that put me out of contention to win , "" Woods said .",""" I had one bad stretch of holes that put me out of contention , "" Woods said , referring to his 42 on the front nine Saturday .",0,1,0.7566736936569214,0,0.6960135698318481,50,0,0,0
